Cell types,Cluster annotations,Organ of origin
T cell_Id2 high(Thymus),Immune_cell,Thymus
TS_Mrpl12_high(Trophoblast-Stem-Cell),Trophoblast_stem_cell,Unknown
TS_Rps28_high(Trophoblast-Stem-Cell),Trophoblast_stem_cell,Unknown
MEF(Trophoblast-Stem-Cell),Mouse_embryonic_fibroblast,Unknown
TS_dif_epithelial(Trophoblast-Stem-Cell),Trophoblast_stem_cell,Unknown
TS_Mrp155_high(Trophoblast-Stem-Cell),Trophoblast_stem_cell,Unknown
Stromal cell_Hsd11b2 high(Uterus),Stromal_cell,Uterus
Dendritic cell(Uterus),Immune_cell,Uterus
Stromal cell_Gm23935 high(Uterus),Stromal_cell,Uterus
Monocyte(Uterus),Immune_cell,Uterus
Granulocyte(Uterus),Granulocyte,Uterus
Glandular epithelium_Ltf high(Uterus),Epithelial_cell,Uterus
Smooth muscle cell_Rgs5 high(Uterus),Smooth_muscle_cell,Uterus
Muscle cell_Pcp4 high(Uterus),Muscle_cell,Uterus
Endothelial cell_Cldn5 high(Uterus),Endothelial_cell,Uterus
Keratinocyte(Uterus),Keratinocyte,Uterus
Plasma cells(Uterus),Plasma_cell,Uterus
Muscle cell_Mgp high(Uterus),Muscle_cell,Uterus
Stromal cell_Ccl11 high(Uterus),Stromal_cell,Uterus
Stromal cell_Cxcl14 high(Uterus),Stromal_cell,Uterus
Stromal cell_Has1 high(Uterus),Stromal_cell,Uterus
Macrophage(Uterus),Immune_cell,Uterus
Endothelial cell_Tm4sf1 high(Uterus),Endothelial_cell,Uterus
Glandular epithelium_Sprr2f high(Uterus),Epithelial_cell,Uterus
NK cell(Uterus),Immune_cell,Uterus
